Date,Production,Source,Plant Name,Plant ID,Current Status,Year,Month,Month_Name,Year_Month,Day
2025-07-09,74.0,Visser,Doug Visser,2318D5,Offline,2025,7,July,2025-07,9
2025-10-09,53.7,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,9
2025-11-09,13.7,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,9
2025-12-09,0.2,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,9
2026-02-09,39.1,Visser,Doug Visser,23'18D5,Offline,2026,2,February,2026-02,9
2025-01-10,4.0,Visser,Doug Visser,2318D5,Offline,2025,1,January,2025-01,10
2025-02-10,0.3,Visser,Doug Visser,2318D5,Offline,2025,2,February,2025-02,10
2025-03-10,24.7,Visser,Doug Visser,2318D5,Offline,2025,3,March,2025-03,10
2025-04-10,52.4,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,10
2025-05-10,70.1,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,10
2025-06-10,83.5,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,10
2025-07-10,54.3,Visser,Doug Visser,2318D5,Offline,2025,7,July,2025-07,10
2025-10-10,49.5,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,10
2025-11-10,25.2,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,10
2025-12-10,0.3,Visser,Doug Visser,2318D5,Offline,2025,12,December,2025-12,10
2026-02-10,41.1,Visser,Doug Visser,23'18D5,Offline,2026,2,February,2026-02,10
2025-01-11,0.8,Visser,Doug Visser,2318D5,Offline,2025,1,January,2025-01,11
2025-02-11,0.2,Visser,Doug Visser,2318D5,Offline,2025,2,February,2025-02,11
2025-03-11,43.9,Visser,Doug Visser,2318D5,Offline,2025,3,March,2025-03,11
2025-04-11,51.0,Visser,Doug Visser,2318D5,Offline,2025,4,April,2025-04,11
2025-05-11,83.1,Visser,Doug Visser,2318D5,Offline,2025,5,May,2025-05,11
2025-06-11,62.0,Visser,Doug Visser,2318D5,Offline,2025,6,June,2025-06,11
2025-07-11,10.1,Visser,Doug Visser,2318D5,Offline,2025,7,July,2025-07,11
2025-10-11,9.9,Visser,Doug Visser,2318D5,Offline,2025,10,October,2025-10,11
2025-11-11,31.5,Visser,Doug Visser,2318D5,Offline,2025,11,November,2025-11,11
